Epochs = 0    Error = 0.147262892117759
Epochs = 1000    Error = 0.0731850552855337
Epochs = 2000    Error = 0.074240575178957
Epochs = 3000    Error = 0.0638416119072875
Epochs = 4000    Error = 0.0438524032679973
Epochs = 5000    Error = 0.00918259811299117
Epochs = 6000    Error = 0.0824062745750859
Epochs = 7000    Error = 0.0870199404328269
Epochs = 8000    Error = 0.0429562381450308
Epochs = 9000    Error = 0.0473834865866851
Epochs = 10000    Error = 0.0353880811645851
Epochs = 11000    Error = 0.026515541879419
Epochs = 12000    Error = 0.0269212367491889
Epochs = 13000    Error = 0.0455118988954129
Epochs = 14000    Error = 0.0616038376909696
Epochs = 15000    Error = 0.0459968371993511
Epochs = 16000    Error = 0.0228998791729478
Epochs = 17000    Error = 0.0288255097492804
Epochs = 18000    Error = 0.0534586700362966
Epochs = 19000    Error = 0.0467085860554708
Epochs = 20000    Error = 0.080680510864046
Epochs = 21000    Error = 0.0327651816474658
Epochs = 22000    Error = 0.0882757964799924
Epochs = 23000    Error = 0.0432035180277174
Epochs = 24000    Error = 0.0502239206217526
Epochs = 25000    Error = 0.035811019810527
Epochs = 26000    Error = 0.035694540438841
Epochs = 27000    Error = 0.0587905849548931
Epochs = 28000    Error = 0.0508878599111155
Epochs = 29000    Error = 0.0276363031788053
Epochs = 30000    Error = 0.0560694002135012
Epochs = 31000    Error = 0.0141959882285893
Epochs = 32000    Error = 0.0593775558587394
Epochs = 33000    Error = 0.080357844437091
Epochs = 34000    Error = 0.0476632769353964
Epochs = 35000    Error = 0.0621771197481871
Epochs = 36000    Error = 0.0720774146596097
Epochs = 37000    Error = 0.037764080086123
Epochs = 38000    Error = 0.0803870501396567
Epochs = 39000    Error = 0.032598987722705
Epochs = 40000    Error = 0.00746266165010799
Epochs = 41000    Error = 0.0998654293694292
Epochs = 42000    Error = 0.0788665675568333
Epochs = 43000    Error = 0.0702291581911212
Epochs = 44000    Error = 0.0629768433701153
Epochs = 45000    Error = 0.061934490204378
Epochs = 46000    Error = 0.085744590964701
Epochs = 47000    Error = 0.0149609976563137
Epochs = 48000    Error = 0.0680531102208344
Epochs = 49000    Error = 0.0291970085160737
Epochs = 50000    Error = 0.0422598241396224
Epochs = 51000    Error = 0.0607330280958607
Epochs = 52000    Error = 0.0328816114850736
Epochs = 53000    Error = 0.0386244230882959
Epochs = 54000    Error = 0.0548939171586792
Epochs = 55000    Error = 0.0444598945681584
Epochs = 56000    Error = 0.0551095080097087
Epochs = 57000    Error = 0.0744724982689971
Epochs = 58000    Error = 0.0414225063787179
Epochs = 59000    Error = 0.0610943561252121
Epochs = 60000    Error = 0.0279659496437571
Epochs = 61000    Error = 0.0696507988864282
Epochs = 62000    Error = 0.0399994398305275
Epochs = 63000    Error = 0.064885244212283
Epochs = 64000    Error = 0.0459723142771258
Epochs = 65000    Error = 0.0478551641498689
Epochs = 66000    Error = 0.0616589839863244
Epochs = 67000    Error = 0.0657085250503106
Epochs = 68000    Error = 0.0125735885977541
Epochs = 69000    Error = 0.0170684083815543
Epochs = 70000    Error = 0.0605113325569917
Epochs = 71000    Error = 0.0776097141878935
Epochs = 72000    Error = 0.0259617006245684
Epochs = 73000    Error = 0.0306592491445421
Epochs = 74000    Error = 0.0718438611433481
Epochs = 75000    Error = 0.0296601105055454
Epochs = 76000    Error = 0.0500105488162298
Epochs = 77000    Error = 0.0909378105364756
Epochs = 78000    Error = 0.0545749720189477
Epochs = 79000    Error = 0.0509413174388483
Epochs = 80000    Error = 0.013888383240695
Epochs = 81000    Error = 0.0410680100086577
Epochs = 82000    Error = 0.125619306428296
Epochs = 83000    Error = 0.0722657140373041
Epochs = 84000    Error = 0.0272925492424416
Epochs = 85000    Error = 0.0548909469322839
Epochs = 86000    Error = 0.0533570563475576
Epochs = 87000    Error = 0.0372661511634064
Epochs = 88000    Error = 0.0294343123921562
Epochs = 89000    Error = 0
